original_row,Human Numeric Score,Judge 1 Model Name,Judge 1 Evaluation,Judge 2 Model Name,Judge 2 Evaluation,Judge 3 Model Name,Judge 3 Evaluation,Judge 4 Model Name,Judge 4 Evaluation
3,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
7,90,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
12,90,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
16,85,GEMMA,Midway,QWEN,Midway,LLAMA,Correct,GPT,Midway
22,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
24,93,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Midway
26,20,GEMMA,Midway,QWEN,Wrong,LLAMA,Correct,GPT,Wrong
30,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
33,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
34,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
35,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
46,35,GEMMA,Midway,QWEN,Wrong,LLAMA,Correct,GPT,Midway
56,0,GEMMA,Midway,QWEN,Wrong,LLAMA,Correct,GPT,Midway
57,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
67,80,GEMMA,Midway,QWEN,Correct,LLAMA,Midway,GPT,Midway
68,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
80,88,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Midway
95,82,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Midway
100,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
115,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Midway
154,95,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Correct
167,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
168,82,GEMMA,Midway,QWEN,Midway,LLAMA,Correct,GPT,Wrong
169,92,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Midway
178,78,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Midway
180,72,GEMMA,Midway,QWEN,Midway,LLAMA,Correct,GPT,Wrong
185,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
189,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
191,82,GEMMA,Midway,QWEN,Midway,LLAMA,Correct,GPT,Wrong
195,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
199,0,GEMMA,Correct,QWEN,Wrong,LLAMA,Wrong,GPT,Correct
201,93,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Correct
203,96,GEMMA,Midway,QWEN,Correct,LLAMA,Correct,GPT,Midway
206,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
214,0,GEMMA,Correct,QWEN,Wrong,LLAMA,Midway,GPT,Wrong
216,30,GEMMA,Wrong,QWEN,Midway,LLAMA,Correct,GPT,Correct
218,100,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
219,75,GEMMA,Correct,QWEN,Correct,LLAMA,Correct,GPT,Correct
