original_row,Judge 1 Model Name,Judge 1 Numeric Score,Judge 1 delta score,Judge 2 Model Name,Judge 2 Numeric Score,Judge 2 delta score,Judge 3 Model Name,Judge 3 Numeric Score,Judge 3 delta score,Judge 4 Model Name,Judge 4 Numeric Score,Judge 4 delta score
3,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
7,GEMMA,1.0,0.1,QWEN,1.0,0.1,LLAMA,0.8,-0.1,GPT,1.0,0.1
12,GEMMA,1.0,0.1,QWEN,1.0,0.1,LLAMA,0.9,0.0,GPT,0.9,0.0
16,GEMMA,0.7,-0.15,QWEN,1.0,0.15,LLAMA,0.8,-0.05,GPT,0.9,0.05
22,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
24,GEMMA,0.9,-0.03,QWEN,1.0,0.07,LLAMA,0.9,-0.03,GPT,0.7,-0.23
26,GEMMA,0.7,0.5,QWEN,0.0,-0.2,LLAMA,0.8,0.6,GPT,0.9,0.7
30,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.9,-0.1,GPT,0.9,-0.1
33,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
34,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
35,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.9,-0.1,GPT,1.0,0.0
46,GEMMA,0.5,0.15,QWEN,3.0,2.65,LLAMA,1.0,0.65,GPT,0.9,0.55
56,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.8,0.8,GPT,0.2,0.2
57,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,1.0,0.0
67,GEMMA,1.0,0.2,QWEN,1.0,0.2,LLAMA,0.6,-0.2,GPT,1.0,0.2
68,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
80,GEMMA,0.5,-0.38,QWEN,1.0,0.12,LLAMA,0.8,-0.08,GPT,0.4,-0.48
95,GEMMA,0.5,-0.32,QWEN,0.9,0.08,LLAMA,1.0,0.18,GPT,0.3,-0.52
100,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,1.0,0.0
115,GEMMA,0.5,-0.5,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,0.9,-0.1
154,GEMMA,0.5,-0.45,QWEN,1.0,0.05,LLAMA,0.8,-0.15,GPT,0.9,-0.05
167,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
168,GEMMA,0.5,-0.32,QWEN,1.0,0.18,LLAMA,0.8,-0.02,GPT,0.2,-0.62
169,GEMMA,1.0,0.08,QWEN,1.0,0.08,LLAMA,0.8,-0.12,GPT,0.6,-0.32
178,GEMMA,1.0,0.22,QWEN,1.0,0.22,LLAMA,0.8,0.02,GPT,0.9,0.12
180,GEMMA,0.4,-0.32,QWEN,1.0,0.28,LLAMA,0.8,0.08,GPT,0.3,-0.42
185,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,1.0,0.0
189,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.8,-0.2,GPT,1.0,0.0
191,GEMMA,0.7,-0.12,QWEN,1.0,0.18,LLAMA,0.8,-0.02,GPT,0.7,-0.12
195,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
199,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.2,0.2,GPT,0.7,0.7
201,GEMMA,0.9,-0.03,QWEN,1.0,0.07,LLAMA,0.8,-0.13,GPT,0.9,-0.03
203,GEMMA,0.5,-0.46,QWEN,1.0,0.04,LLAMA,0.8,-0.16,GPT,0.4,-0.56
206,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
214,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.5,0.5,GPT,0.4,0.4
216,GEMMA,0.3,0.0,QWEN,0.2,-0.1,LLAMA,0.6,0.3,GPT,1.0,0.7
218,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,1.0,0.0,GPT,1.0,0.0
219,GEMMA,1.0,0.25,QWEN,1.0,0.25,LLAMA,0.9,0.15,GPT,1.0,0.25
222,GEMMA,1.0,0.8,QWEN,0.0,-0.2,LLAMA,0.5,0.3,GPT,0.9,0.7
224,GEMMA,1.0,0.8,QWEN,1.0,0.8,LLAMA,0.8,0.6,GPT,0.2,0.0
225,GEMMA,1.0,0.22,QWEN,1.0,0.22,LLAMA,0.8,0.02,GPT,0.9,0.12
226,GEMMA,1.0,0.12,QWEN,1.0,0.12,LLAMA,0.9,0.02,GPT,0.9,0.02
227,GEMMA,1.0,0.0,QWEN,1.0,0.0,LLAMA,0.9,-0.1,GPT,1.0,0.0
228,GEMMA,0.0,-0.2,QWEN,1.0,0.8,LLAMA,0.8,0.6,GPT,0.6,0.4
240,GEMMA,1.0,0.6,QWEN,1.0,0.6,LLAMA,0.6,0.2,GPT,0.9,0.5
242,GEMMA,1.0,0.8,QWEN,0.0,-0.2,LLAMA,0.8,0.6,GPT,0.2,0.0
243,GEMMA,1.0,1.0,QWEN,0.0,0.0,LLAMA,0.8,0.8,GPT,0.6,0.6
247,GEMMA,0.7,-0.1,QWEN,1.0,0.2,LLAMA,0.8,0.0,GPT,0.9,0.1
