original_row,Judge 1 Model Name,Judge 1 Numeric Score,Judge 1 delta score,Judge 2 Model Name,Judge 2 Numeric Score,Judge 2 delta score,Judge 3 Model Name,Judge 3 Numeric Score,Judge 3 delta score,Judge 4 Model Name,Judge 4 Numeric Score,Judge 4 delta score
3,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
7,GEMMA,10,1.0,QWEN,10,1.0,LLAMA,7,-2.0,GPT,10,1.0
12,GEMMA,10,1.0,QWEN,10,1.0,LLAMA,10,1.0,GPT,10,1.0
16,GEMMA,9,0.5,QWEN,10,1.5,LLAMA,2,-6.5,GPT,4,-4.5
22,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
24,GEMMA,10,0.7,QWEN,10,0.7,LLAMA,9,-0.3,GPT,9,-0.3
26,GEMMA,9,7.0,QWEN,10,8.0,LLAMA,5,3.0,GPT,6,4.0
30,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
33,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
34,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
35,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,6,-4.0,GPT,10,0.0
46,GEMMA,5,1.5,QWEN,10,6.5,LLAMA,10,6.5,GPT,9,5.5
56,GEMMA,2,2.0,QWEN,1,1.0,LLAMA,6,6.0,GPT,6,6.0
57,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
67,GEMMA,10,2.0,QWEN,10,2.0,LLAMA,5,-3.0,GPT,9,1.0
68,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
80,GEMMA,7,-1.8,QWEN,9,0.2,LLAMA,10,1.2,GPT,3,-5.8
95,GEMMA,6,-2.2,QWEN,10,1.8,LLAMA,10,1.8,GPT,7,-1.2
100,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,8,-2.0,GPT,10,0.0
115,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,9,-1.0
154,GEMMA,7,-2.5,QWEN,10,0.5,LLAMA,9,-0.5,GPT,9,-0.5
167,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,9,-1.0
168,GEMMA,5,-3.2,QWEN,0,-8.2,LLAMA,10,1.8,GPT,3,-5.2
169,GEMMA,10,0.8,QWEN,10,0.8,LLAMA,6,-3.2,GPT,7,-2.2
178,GEMMA,10,2.2,QWEN,10,2.2,LLAMA,6,-1.8,GPT,9,1.2
180,GEMMA,4,-3.2,QWEN,4,-3.2,LLAMA,10,2.8,GPT,2,-5.2
185,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
189,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
191,GEMMA,9,0.8,QWEN,7,-1.2,LLAMA,10,1.8,GPT,9,0.8
195,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
199,GEMMA,10,10.0,QWEN,2,2.0,LLAMA,0,0.0,GPT,9,9.0
201,GEMMA,9,-0.3,QWEN,10,0.7,LLAMA,10,0.7,GPT,9,-0.3
203,GEMMA,6,-3.6,QWEN,10,0.4,LLAMA,9,-0.6,GPT,9,-0.6
206,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,9,-1.0,GPT,10,0.0
214,GEMMA,10,10.0,QWEN,10,10.0,LLAMA,4,4.0,GPT,9,9.0
216,GEMMA,3,0.0,QWEN,5,2.0,LLAMA,10,7.0,GPT,9,6.0
218,GEMMA,10,0.0,QWEN,10,0.0,LLAMA,10,0.0,GPT,10,0.0
219,GEMMA,10,2.5,QWEN,10,2.5,LLAMA,10,2.5,GPT,10,2.5
222,GEMMA,6,4.0,QWEN,0,-2.0,LLAMA,6,4.0,GPT,9,7.0
224,GEMMA,10,8.0,QWEN,10,8.0,LLAMA,0,-2.0,GPT,6,4.0
225,GEMMA,10,2.2,QWEN,10,2.2,LLAMA,10,2.2,GPT,9,1.2
